,,,
 First copy final kws from 2nd sheet (seed kws) ,,,
 Then copy  kws from 3rd sheet (Reverse ASIN) and paste below it ,,,
" After that, remove duplicates.. That will be our all kws ",,,
,,,
,,,
,Software,Keywords,MW Search Vol
,MW,cloudfield blue light blocking glasses,6821
,MW,peekers computer glasses,6815
,MW,glass computer desk,6814
,MW,mens blue light blocking glasses,6778
,MW,computer glasses for kids,6763
,MW,northland outpost blue light blocking glasses,6755
,MW,0.75 reading glasses for women blue light blocking,6643
,MW,lihvo blue light blocking glasses,6564
,MW,vr glasses game,6564
,MW,computer glasses 1.25,6552
,MW,50 computer glasses women,6520
,MW,ubuji blue light blocking glasses,6480
,MW,versol computer glasses,6362
,MW,diff blue light blocking glasses women,6325
,MW,gunner gaming glasses,6282
,MW,quay computer glasses,6254
,MW,glasses computer,6156
,MW,75 computer glasses men,6103
,MW,computer screen glasses,6092
,MW,05 computer glasses,6075
,MW,occffy blue light filter computer glasses,6034
,MW,icu computer glasses,6031
,MW,uv computer glasses for men,6019
,MW,tijn computer glasses,5973
,MW,gaming glasses women,5965
,MW,mi computer glasses,5931
,MW,lcec gaming glasses,5921
,MW,video game glasses for men,5871
,MW,g queen blue light blocking glasses,5864
,MW,aqwano 4 pack computer reading glasses,5857
,MW,75 reading glasses women blue light blocking,5800
,MW,jos computer glasses,5788
,MW,cat eye blue light blocking glasses,5754
,MW,k kenzhou blue light blocking glasses,5733
,MW,blueblocking computer glasses,5730
,MW,wuay blue light blocking glasses,5723
,MW,computer reading glasses men,5704
,MW,glass games,5665
,MW,azul stained glass board game,5650
,MW,peakz blue light blocking glasses,5649
,MW,gameking gaming glasses,5636
,MW,1.5 computer reading glasses,5635
,MW,eyezen computer glasses women,5606
,MW,bo-toys drinking game glass roulette,5586
,MW,games glasses,5568
,MW,gaoye blue light blocking computer glasses,5537
,MW,eosneik-us blue light blocking glasses,5486
,MW,swanwick blue light blocking glasses,5469
,MW,simvey computer glasses,5454
,MW,prospek blue light blocking glasses,5443
,MW,optiks computer glasses,5426
,MW,thl sleep blue light blocking glasses,5417
,MW,tv glasses blue light blocking,5415
,MW,ensarjoe blue light blocking glasses for women,5414
,MW,agstum blue light blocking glasses,5399
,MW,klim computer glasses,5395
,MW,gunnars computer glasses,5383
,MW,j&s computer glasses,5377
,MW,l blue light blocking glasses,5354
